structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,63,8,1530.77964121,1534.45634134,1532.61799127,5.01341533692e-05,195.608076968,3.67670012934,0.000100268306738,6.3886578305,0.00017422735707,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,8,66,1534.45634134,1534.45634134,1534.45634134,4.65781567435e-05,195.373729394,0,9.31563134871e-05,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,66,10,1534.45634134,1536.30995356,1535.38314745,5.9157784982e-05,195.255795596,1.8536122205,0.000118315569964,12.7178780081,0.000811779327512,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,10,68,1536.30995356,1536.30995356,1536.30995356,6.94964917268e-05,195.138004089,0,0.000138992983454,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,68,13,1536.30995356,1541.87028891,1539.09012124,6.96473776335e-05,194.785512468,5.5603353559,0.000139294755267,4.26017182358,0.000106724401712,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,13,71,1541.87028891,1541.87028891,1541.87028891,6.9797937363e-05,194.434292012,0,0.000139595874726,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,71,14,1541.87028891,1543.73682228,1542.8035556,6.29035725688e-05,194.316675582,1.86653336299,0.000125807145138,12.7522114437,0.000859518785922,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,14,72,1543.73682228,1543.73682228,1543.73682228,5.51540281729e-05,194.199201362,0,0.000110308056346,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,72,19,1543.73682228,1551.23190146,1547.48436187,5.68625308248e-05,193.728909569,7.49507917956,0.00011372506165,3.19504009611,4.84798605946e-05,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,19,77,1551.23190146,1551.23190146,1551.23190146,5.85211756539e-05,193.260890083,0,0.000117042351308,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,77,20,1551.23190146,1553.11376617,1552.17283381,6.43235393861e-05,193.143734686,1.88186470977,0.000128647078772,12.8024107871,0.000875192542237,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,20,78,1553.11376617,1553.11376617,1553.11376617,6.964414863e-05,193.026721243,0,0.00013928829726,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,78,21,1553.11376617,1554.99894275,1554.05635446,6.52699681257e-05,192.909643939,1.88517658557,0.000130539936251,12.8109545351,0.000887101203985,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,21,79,1554.99894275,1554.99894275,1554.99894275,6.05807728562e-05,192.792708572,0,0.000121161545712,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,79,23,1554.99894275,1558.80075605,1556.8998494,7.78612195451e-05,192.557317104,3.80181329888,0.00015572243909,6.37573954981,0.000261151349575,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,23,81,1558.80075605,1558.80075605,1558.80075605,9.19494914518e-05,192.32249974,0,0.000183898982904,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,81,25,1558.80075605,1560.70143931,1559.75109768,9.90205251913e-05,192.205319455,1.90068325635,0.000198041050383,12.7997312471,0.00133366466737,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,25,83,1560.70143931,1560.70143931,1560.70143931,0.000105619220978,192.088281877,0,0.000211238441957,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,83,30,1560.70143931,1568.35483638,1564.52813784,9.74931326994e-05,191.618450796,7.65339707488,0.000194986265399,3.19825075082,8.14830885033e-05,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,30,88,1568.35483638,1568.35483638,1568.35483638,8.86250642144e-05,191.150912437,0,0.000177250128429,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,88,34,1568.35483638,1574.13069686,1571.24276662,0.000103899976387,190.79957876,5.77586047397,0.000207799952773,4.27434811277,0.000153780608287,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,34,92,1574.13069686,1574.13069686,1574.13069686,0.000117200717486,190.449534209,0,0.000234401434972,,,6.23887155499,6.52317207595e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,92,37,1574.13069686,1579.96339914,1577.047048,0.000105402915727,190.097345783,5.83270228479,0.000210805831455,4.26402252363,0.000154111579396,6.23887155499,6.52317207595e-05
